Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#

2021/9/17 上午 07:46:47	T718CA25AL01	OK	2V500HJ4Q170S	%	A0	$	A0	2	37,192	0	A0	2.2	47,422	0	A0	303.5	632,1	A0	237.4	919,1	A0	98.5	1,604	A0	191.3	1,351	#
2021/9/17 上午 07:46:50	T718CA25AL01	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	1061,100	0	A0	1.6	1032,313	0	A0	282.6	749,1	A0	170.5	648,1	A0	71.2	1,394	A0	135.3	1,1657	#
2021/9/17 上午 07:48:28	T718G858AP06	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	52,166	0	A0	2.5	61,415	0	A0	199.1	640,1	A0	104.7	484,1	A0	115.3	1,630	A0	267.5	1,336	#
2021/9/17 上午 07:48:31	T718G858AP06	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	1062,85	0	A0	1.7	74,386	0	A0	180.7	747,1	A0	131.7	166,1	A0	108.4	1,417	A0	155.8	1,1665	#
2021/9/17 上午 08:09:01	T718D838AB06	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	52,905	0	A0	1.5	988,272	0	A0	185.1	182,1	A0	124	593,1	A0	93.4	1,434	A0	115.7	1,1181	#
2021/9/17 上午 08:09:03	T718D838AB06	OK	2V500HJ4Q170S	%	C0	$	C0	3.48	1061,62	16	A0	2.5	1022,352	0	A0	191.5	747,1	A0	127	820,1	A0	113.8	1,425	A0	198	1,270	#
2021/9/17 上午 08:35:05	T718G853AV02	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	996,1780	0	A0	1.7	580,230	0	A0	373.4	637,1	A0	224.4	737,1	A0	99.3	1,1049	A0	115.3	1,1199	#
2021/9/17 上午 08:35:07	T718G853AV02	OK	2V500HJ4Q170S	%	C0	$	C0	3.95	1001,31	35	A0	2.8	1035,212	0	A0	304.6	746,1	A0	230.1	656,1	A0	118.7	1,382	A0	137.8	1,950	#
2021/9/17 上午 08:40:58	T718F911AC03	OK	2V500HJ4Q170S	%	A0	$	A0	1.8	89,468	0	A0	1.4	69,264	0	A0	225.6	635,1	A0	174.3	590,1	A0	85.4	1,256	A0	88	1,1671	#
2021/9/17 上午 08:41:01	T718F911AC03	OK	2V500HJ4Q170S	%	C0	$	C0	3.1	1001,39	0	A0	2.5	1046,189	0	A0	241.5	742,1	A0	214.6	166,1	A0	144	1,402	A0	217.7	1,251	#
2021/9/17 上午 08:42:42	T718F911BB01	OK	2V500HJ4Q170S	%	C0	$	C0	3.4	935,1875	0	A0	2.9	930,1871	0	A0	326.5	634,1	A0	215.9	917,1	A0	83.9	1,766	A0	136.6	1,1169	#
2021/9/17 上午 08:42:45	T718F911BB01	OK	2V500HJ4Q170S	%	C0	$	A0	2.3	1008,31	0	C0	3.42	1035,209	15	A0	260.6	746,1	A0	133.2	170,1	A0	151.3	1,411	A0	216.2	1,252	#
2021/9/17 上午 08:44:23	T718E895AA01	OK	2V500HJ4Q170S	%	A0	$	A0	2.3	64,162	0	A0	2.1	55,432	0	A0	233	635,1	A0	184.5	742,1	A0	125.1	1,676	A0	200.7	1,361	#
2021/9/17 上午 08:44:26	T718E895AA01	OK	2V500HJ4Q170S	%	A0	$	A0	2.6	1061,58	0	A0	1.4	929,1607	0	A0	297.9	747,1	A0	144.3	651,1	A0	104.6	1,390	A0	107.8	1,1584	#
2021/9/17 上午 08:48:00	T718H847BD05	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	58,166	0	A0	2.1	58,400	0	A0	243.1	637,1	A0	168.5	140,1	A0	138.5	1,630	A0	210.3	1,343	#
