Start Time	Chip ID	PassFill 	Model	%	Grade	$	PCM17_Rank	PCM17_Value	PCM17_X,PCM17_Y	PCM17_Area	PCM16_Rank	PCM16_Value	PCM16_X,PCM16_Y	PCM16_Area	PCMV1_W_Rank	PCMV1_W_Value	PCMV1_W_X,1	PCM01_B_Rank	PCM01_B_Value	PCM01_W_X,1	PCMCM_W_Rank	PCMCM_W_Value	1,PCMCM_W_Y	PCM19_B_Rank	PCM19_B_Value	1,PCM19_B_Y	#

2021/9/14 下午 02:45:49	T718C806AL02	OK	2V500HJ4Q170S	%	A0	$	A0	2	183,902	0	A0	1.8	993,336	0	A0	292	639,1	A0	172.1	593,1	A0	144.9	1,743	A0	122.4	1,1196	#
2021/9/14 下午 02:45:52	T718C806AL02	OK	2V500HJ4Q170S	%	C0	$	C0	3.12	1061,58	12	A0	2.5	1030,209	0	A0	281.3	742,1	A0	176.9	172,1	A0	173.4	1,382	A0	157.9	1,251	#
2021/9/14 下午 02:54:23	T717G843AS05	OK	2V500HJ4Q170S	%	A0	$	A0	2	698,1863	0	A0	1.5	930,1871	0	A0	202.8	635,1	A0	159.7	592,1	A0	77.1	1,1052	A0	88.2	1,1188	#
2021/9/14 下午 02:54:26	T717G843AS05	OK	2V500HJ4Q170S	%	C0	$	A0	2.4	1003,31	0	C0	3.47	1045,178	15	A0	208.9	591,1	A0	158.3	177,1	A0	122.5	1,352	A0	147.2	1,251	#
2021/9/14 下午 02:56:10	T718C806BC04	OK	2V500HJ4Q170S	%	A0	$	A0	2.2	932,1871	0	A0	2.1	930,1875	0	A0	215.9	637,1	A0	165.5	593,1	A0	87.4	1,754	A0	95.4	1,1181	#
2021/9/14 下午 02:56:13	T718C806BC04	OK	2V500HJ4Q170S	%	C0	$	C0	3.1	1001,31	0	C0	3.81	1038,220	16	A0	216	746,1	A0	112.4	702,1	A0	152.9	1,386	A0	139.2	1,251	#
2021/9/14 下午 02:57:54	T718G861AD06	OK	2V500HJ4Q170S	%	A0	$	A0	2.7	85,128	0	A0	2.2	132,392	0	A0	176.4	339,1	A0	126.3	135,1	A0	125.7	1,690	A0	210.4	1,347	#
2021/9/14 下午 02:57:57	T718G861AD06	OK	2V500HJ4Q170S	%	A0	$	A0	2.1	1062,89	0	A0	1.5	117,297	0	A0	163.7	598,1	A0	176.1	162,1	A0	80.6	1,776	A0	133.4	1,1653	#
2021/9/14 下午 02:59:51	T718G863BC03	OK	2V500HJ4Q170S	%	C0	$	C0	3.74	933,1868	18	C0	3.2	930,1868	0	A0	268.8	546,1	A0	203.6	143,1	A0	145.8	1,674	A0	185	1,322	#
2021/9/14 下午 02:59:54	T718G863BC03	NG	2V500HJ4Q170S	%	K0	$	K0	6.35	1062,58	80	E0	4.97	1028,15	30	A0	222.7	742,1	A0	201.1	169,1	A0	59.4	1,394	A0	77.2	1,912	#
