Start Time,Chip ID,PassFill,Defect Code,Grade,Model Name,Tact Time
2021_0915_07:40:19,T718G855AN04,NG,PCM2100134000388032,C2,2V500HJ4Q170S,32.8
2021_0915_07:59:41,2V500HJ4Q170,NG,PCM2100134000388032,C2,2V500HJ4Q170S,2.5
2021_0915_08:07:28,T718G857AJ01,OK,,A,2V500HJ4Q170S,30.8
2021_0915_08:45:27,T718E898AD06,NG,PCLH601395008768039PCLH601388009018039PCLH601389008898039PCLH601397009948039PCLH601407006348039PCLH601404007468039,L,2V500HJ4Q170S,31.8
2021_0915_09:19:26,T718CA29AN06,OK,,A,2V500HJ4Q170S,36.4
2021_0915_09:23:35,T718CA18AE04,NG,PCM2100088000388032PCM2101700009198032,C2,2V500HJ4Q170S,31.2
2021_0915_09:49:01,T718E897AB06,OK,,A,2V500HJ4Q170S,30.7
2021_0915_09:55:01,T718FA50AM01,OK,,A,2V500HJ4Q170S,32.2
2021_0915_10:39:07,T718CA27AU01,NG,PCM2100085000388032,C2,2V500HJ4Q170S,30.7
2021_0915_11:14:14,T718G857AP06,OK,,A,2V500HJ4Q170S,32.1
2021_0915_11:19:55,T718G860AG02,OK,,A,2V500HJ4Q170S,32.8
2021_0915_11:58:33,T717PD52AH03,NG,PCM0601489002608031PCM0601214002068031PCM0601691001948031PCM0600693002148031,C5,2V500HJ4Q170S,30.9
2021_0915_12:04:13,T718F914AH05,NG,PCM2100086000388032,C2,2V500HJ4Q170S,31.9
2021_0915_12:11:17,T718F914AH01,NG,PCLH601592003078039,L,2V500HJ4Q170S,32.3
2021_0915_13:38:10,T799A627BA04,OK,,A,2V500HJ4Q170S,30.8
2021_0915_13:42:00,T718FA50AQ01,OK,,A,2V500HJ4Q170S,32
2021_0915_14:04:21,T718H843AR06,OK,,A,2V500HJ4Q170S,32.9
2021_0915_14:13:14,T718CA16AT05,OK,,A,2V500HJ4Q170S,32.7
2021_0915_14:19:32,T718CA30AH05,OK,,A,2V500HJ4Q170S,30.9
2021_0915_14:48:46,T718E898BA04,OK,,A,2V500HJ4Q170S,32.7
