Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0808_07:59:26,T917G149AV05,OK,,2V500DJ7QZ00S,31.3,A
2021_0808_08:16:40,T917G061BA08,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_08:16:40,T917G061BA08,NG,PCM060250100802800CPCM060250100802800C,2V500DJ7QZ00S,111.1,C5
2021_0808_08:20:34,T917F074BA02,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_08:22:23,T917G039AP03,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_08:40:30,T917K053AK04,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_08:42:18,T917G079AU04,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_08:45:31,T917G048AM02,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_08:56:13,T917F104AH02,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_09:10:14,T917G129AK02,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_09:15:49,T917E060AP07,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_09:21:49,T917G037AL02,OK,,2V500DJ7QZ00S,31.8,A
2021_0808_09:23:37,T917G108AG05,OK,,2V500DJ7QZ00S,32.2,A
2021_0808_09:35:30,T917G058AC04,OK,,2V500DJ7QZ00S,31.5,A
2021_0808_09:38:46,T917G018AT08,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_09:43:27,T911K166AF08,OK,,2V500DJ7QZ00S,31.5,A
2021_0808_09:45:15,T917G108AL08,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_09:47:03,T917G018AT02,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_09:54:21,T917G044BB06,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_09:56:20,T9178024AH03,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_09:58:08,T917G140BC02,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_10:05:25,T917G120AE02,OK,,2V500DJ7QZ00S,32.0,A
2021_0808_10:08:12,T916M045AM01,OK,,2V500DJ7QZ00S,31.8,A
2021_0808_10:13:04,T917G043AU03,NG,PCMCK0056600797800C,2V500DJ7QZ00S,30.6,E
2021_0808_10:14:50,T917G041AG08,OK,,2V500DJ7QZ00S,31.2,A
2021_0808_10:39:14,T917G118AB04,NG,PCMCK0089701160800C,2V500DJ7QZ00S,30.3,E
2021_0808_10:41:04,T917G046AC05,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_10:46:03,T917G049AP03,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_10:47:48,T917G116BB07,OK,,2V500DJ7QZ00S,31.5,A
2021_0808_10:49:38,T917G048AA03,OK,,2V500DJ7QZ00S,29.6,A
2021_0808_10:51:23,T917G148AS01,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_10:54:58,T917G048AA07,OK,,2V500DJ7QZ00S,31.8,A
2021_0808_10:57:48,T917G148AS02,NG,PCMCK0371701653800D,2V500DJ7QZ00S,31.0,E
2021_0808_10:59:36,T917G119BC04,OK,,2V500DJ7QZ00S,32.2,A
2021_0808_11:04:24,T909C033AJ01,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_11:06:35,T917G136AP04,NG,PCMCK0239002106800D,2V500DJ7QZ00S,30.9,E
2021_0808_11:08:24,T917G109AJ01,OK,,2V500DJ7QZ00S,31.3,A
2021_0808_11:10:12,T917G026AV02,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_11:14:26,T917G116BB05,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_11:16:14,T917G048AA08,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_11:20:09,T917G033AJ08,OK,,2V500DJ7QZ00S,31.8,A
2021_0808_11:21:59,T917G150AK02,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_11:24:08,T917G048AJ02,OK,,2V500DJ7QZ00S,29.8,A
2021_0808_11:28:42,T917G046AC01,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_11:30:28,T917G046AC08,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_11:32:16,T917G058AB07,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_11:34:03,T917J016BA08,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_11:35:50,T917G119BC08,OK,,2V500DJ7QZ00S,31.1,A
2021_0808_11:37:38,T917G148AS03,OK,,2V500DJ7QZ00S,31.5,A
2021_0808_11:39:29,T917G090BB01,OK,,2V500DJ7QZ00S,30.7,A
2021_0808_11:41:50,T917G090BB05,OK,,2V500DJ7QZ00S,32.2,A
2021_0808_11:43:39,T911K166AN01,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_11:45:26,T917G048AD05,OK,,2V500DJ7QZ00S,31.6,A
2021_0808_11:47:13,T917G047AS05,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_11:49:01,T917G106AS07,OK,,2V500DJ7QZ00S,32.0,A
2021_0808_11:51:34,T917E052AB06,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_11:53:23,T9179031AE01,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_11:55:10,T917G064BD07,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_11:57:00,T917J016AK08,OK,,2V500DJ7QZ00S,30.2,A
2021_0808_11:58:46,T917F172AA08,OK,,2V500DJ7QZ00S,30.5,A
2021_0808_12:00:32,T917K092AR01,OK,,2V500DJ7QZ00S,30.1,A
2021_0808_12:02:19,T917G143BB04,OK,,2V500DJ7QZ00S,29.6,A
2021_0808_12:04:05,T917G071AR03,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_12:05:50,T917G083AP03,OK,,2V500DJ7QZ00S,30.9,A
2021_0808_12:08:45,T917G022AJ07,OK,,2V500DJ7QZ00S,31.5,A
2021_0808_12:10:31,T917G083AP07,OK,,2V500DJ7QZ00S,30.6,A
2021_0808_12:12:17,T917G125AK06,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_12:14:04,T917G109AN06,NG,PCMCK0278500449800C,2V500DJ7QZ00S,29.9,E
2021_0808_12:15:50,T917G074AM03,OK,,2V500DJ7QZ00S,30.0,A
2021_0808_12:17:38,T917G125AK03,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_12:27:51,T917K098BD03,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_12:29:38,T917K098BD07,OK,,2V500DJ7QZ00S,30.3,A
2021_0808_12:31:23,T917G022AE05,OK,,2V500DJ7QZ00S,31.4,A
2021_0808_12:33:10,T917G022AE08,OK,,2V500DJ7QZ00S,31.3,A
2021_0808_12:35:21,T917G075AV01,OK,,2V500DJ7QZ00S,32.4,A
2021_0808_12:37:17,T9179033AU08,OK,,2V500DJ7QZ00S,32.8,A
2021_0808_13:04:29,T917G066AU08,OK,,2V500DJ7QZ00S,29.9,A
2021_0808_13:07:35,T917G066AU02,OK,,2V500DJ7QZ00S,30.8,A
2021_0808_13:09:27,T917G048AM05,OK,,2V500DJ7QZ00S,31.7,A
2021_0808_13:11:23,T917G090BB03,NG,PCDB602347008858013,2V500DJ7QZ00S,30.0,C5
2021_0808_13:13:08,T917G066AU05,OK,,2V500DJ7QZ00S,31.2,A
