Start Time,Chip ID,PassFill,Defect Code,Model Name,Tact Time,Grade
2021_0811_07:33:23,T917G133AV06,OK,,2V500DJ7QZL0S,29.8,A
2021_0811_07:38:04,T917K114AK02,OK,,2V500DJ7QZL0S,30.4,A
2021_0811_07:51:12,T915V064BC04,OK,,2V500DJ7QZL0S,30.2,A
2021_0811_07:53:00,T917G074AF08,OK,,2V500DJ7QZL0S,31.0,A
2021_0811_07:58:32,T917G022AC06,OK,,2V500DJ7QZL0S,30.0,A
2021_0811_08:04:42,T917G134AE04,OK,,2V500DJ7QZL0S,30.5,A
2021_0811_08:06:29,T9175065AT02,OK,,2V500DJ7QZL0S,30.8,A
2021_0811_08:08:16,T917G134AE05,OK,,2V500DJ7QZL0S,30.5,A
2021_0811_08:14:06,T9175078AS08,OK,,2V500DJ7QZL0S,31.2,A
2021_0811_08:20:00,T917D084AN06,OK,,2V500DJ7QZL0S,29.8,A
2021_0811_08:22:12,T916M047AB02,OK,,2V500DJ7QZL0S,31.1,A
2021_0811_08:24:54,T917G068AS08,OK,,2V500DJ7QZL0S,30.4,A
2021_0811_08:32:59,T917G148AG07,OK,,2V500DJ7QZL0S,32.0,A
2021_0811_08:37:38,T9179048AK07,OK,,2V500DJ7QZL0S,32.1,A
2021_0811_08:41:25,T916T031AA01,OK,,2V500DJ7QZL0S,30.3,A
2021_0811_08:45:09,T917D073AF01,OK,,2V500DJ7QZL0S,31.3,A
2021_0811_08:46:57,T917G144AL02,OK,,2V500DJ7QZL0S,30.6,A
2021_0811_08:48:45,T917G144AL03,OK,,2V500DJ7QZL0S,30.4,A
2021_0811_08:50:32,T917G144AL05,OK,,2V500DJ7QZL0S,30.5,A
2021_0811_08:52:20,T917D084AN03,OK,,2V500DJ7QZL0S,30.8,A
2021_0811_08:54:08,T916U013AL07,OK,,2V500DJ7QZL0S,31.5,A
2021_0811_08:55:58,T916T031AA05,OK,,2V500DJ7QZL0S,30.5,A
2021_0811_09:08:17,T916M048AM08,OK,,2V500DJ7QZL0S,31.4,A
2021_0811_09:14:12,T9179048AK06,OK,,2V500DJ7QZL0S,31.3,A
2021_0811_09:18:16,T917G147BB03,OK,,2V500DJ7QZL0S,31.4,A
2021_0811_09:20:31,T917E031AU04,OK,,2V500DJ7QZL0S,30.2,A
2021_0811_09:24:12,T917E031AU06,OK,,2V500DJ7QZL0S,30.0,A
2021_0811_09:26:00,T915W068AE02,OK,,2V500DJ7QZL0S,30.8,A
2021_0811_09:28:04,T916T028BB08,OK,,2V500DJ7QZL0S,31.1,A
2021_0811_09:43:48,T917G143BA03,OK,,2V500DJ7QZL0S,29.8,A
2021_0811_09:47:31,T917G139AJ01,OK,,2V500DJ7QZL0S,31.0,A
2021_0811_09:49:19,T916M047BA04,OK,,2V500DJ7QZL0S,31.0,A
2021_0811_09:51:09,T916M048AD06,OK,,2V500DJ7QZL0S,30.6,A
2021_0811_09:53:52,T917G147AC06,OK,,2V500DJ7QZL0S,30.7,A
2021_0811_09:55:47,T917G026AS03,OK,,2V500DJ7QZL0S,30.2,A
2021_0811_09:57:42,T917G143AN01,OK,,2V500DJ7QZL0S,30.6,A
2021_0811_09:59:29,T917G147AC01,OK,,2V500DJ7QZL0S,29.6,A
2021_0811_10:03:11,T917F021AQ08,OK,,2V500DJ7QZL0S,30.4,A
2021_0811_10:04:57,T917F027AS08,OK,,2V500DJ7QZL0S,30.0,A
2021_0811_10:06:45,T917D084AC04,OK,,2V500DJ7QZL0S,29.8,A
2021_0811_10:11:46,T917D134BC02,OK,,2V500DJ7QZL0S,36.0,A
2021_0811_10:18:17,T917D109AM06,OK,,2V500DJ7QZL0S,29.8,A
2021_0811_10:20:03,T917D084AC05,OK,,2V500DJ7QZL0S,31.2,A
2021_0811_10:21:51,T917D109AH07,OK,,2V500DJ7QZL0S,30.1,A
2021_0811_10:23:38,T917D135BA04,OK,,2V500DJ7QZL0S,30.7,A
2021_0811_10:31:04,T917G024AA03,OK,,2V500DJ7QZL0S,31.4,A
2021_0811_10:35:30,T917G024AA01,OK,,2V500DJ7QZL0S,30.1,A
2021_0811_10:37:44,T917G068AS06,OK,,2V500DJ7QZL0S,30.1,A
2021_0811_10:43:12,T917D124AP05,OK,,2V500DJ7QZL0S,31.9,A
